Accessed on Sun Oct 09 2016 10:45:10 GMT-0700 (PDT)
 
×

2288 Owners Of Avatar of Intrigue
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AVATARS"
COMPLETION
 TheBeastie Last name	B	2×	17/53	  GET
 Javier Mauricio	A	2×	39/53	  GET
 Ariana Hydorn	A+	2×	42/53	  GET
 Tyler Beattie	B+	2×	35/53	  GET
 Lotus	A	3×	40/53	  GET
 Jennifer Shtefan	A+	9×	48/53	  GET
 KucingKecil	B+	2×	39/53	  GET
 Dains	A+	3×	41/53	  GET
 Miguel Angel Rangel Torpey	D	2×	26/53	  GET
 Ren Son	A+	3×	40/53	  GET
 Kristina Meloserdoff	A+	4×	42/53	  GET
 Serenity Lee	A+	3×	48/53	  GET
 Marco Sousa	B	2×	34/53	  GET
 Dindeen Jaro	B+	6×	43/53	  GET
 lava hawk	A+	5×	44/53	  GET
 Caleb Holmes	A+	2×	40/53	  GET
 Emil Lindqvist	A+	2×	37/53	  GET
 Good Man	A+	5×	42/53	  GET
 Carlos Wijaya	A+	2×	43/53	  GET
 Alejandro Schubert	A+	4×	41/53	  GET
 Mrdragonmaker	A+	2×	39/53	  GET
 Nicodeamus	A+	2×	43/53	  GET
 Watawatanari	A+	2×	37/53	  GET
 Tiffani Thrace	A+	4×	43/53	  GET
 Ag3ntxii	A+	2×	44/53	  GET
 Eclecticloset LLC	D-	2×	16/53	  GET
 Unvunb	B+	2×	29/53	  GET
 Alkimim M. P. C.	A+	3×	45/53	  GET
 Mikael Vaede	A-	2×	44/53	  GET
 Michelle Holmes	B+	2×	39/53	  GET
 Kate Anderson	A	4×	37/53	  GET
 Devin	A+	4×	46/53	  GET
 Colin McNeil	B+	2×	37/53	  GET
 Luciano Santos	A+	3×	42/53	  GET
 Rokrevthin	A+	2×	46/53	  GET
 Doro Tea	A+	2×	39/53	  GET
 Byron Lim	A+	4×	41/53	  GET
 Chymeron	A+	3×	44/53	  GET
 Buddy2539	A+	2×	37/53	  GET
 Davidhj.net	A+	3×	42/53	  GET
 Tom Dutt	B-	2×	33/53	  GET
 Laila Pinto Alves	A+	4×	42/53	  GET
 Lucario	A+	2×	38/53	  GET
 Zoila NEEDS more ERs.	A+	5×	47/53	  GET
 Kyureon Westfall	A+	8×	45/53	  GET
 Sean Burdick	A	2×	45/53	  GET
 James Spindor	A+	3×	43/53	  GET
 Frederickcristofer	A	4×	31/53	  GET
 Randallpinkflyd	A+	4×	49/53	  GET
 Clayton Ramone	A+	3×	44/53	  GET
 Annelise Knoot	A+	2×	44/53	  GET
 Kittiemiaou	A+	4×	48/53	  GET
 Sibil Hadzhytodorov	A+	4×	45/53	  GET
 melanie whittall	A+	3×	41/53	  GET
 Dominic Flask	A+	5×	53/53	  GET
 Tara Von 6	A+	4×	44/53	  GET
 Christina Martin	C	2×	34/53	  GET
 Rian Perez	A+	2×	37/53	  GET
 Roches Guimarães	A+	5×	53/53	  GET
 Tami CM	A+	3×	43/53	  GET
 Peyton934913	A+	3×	44/53	  GET
 Julia Teles	A+	4×	43/53	  GET
 Elyzalex	A+	4×	45/53	  GET
 draconian Voltage	A+	2×	43/53	  GET
 Bluebanana	A+	6×	41/53	  GET
 Theresa Story	A+	3×	40/53	  GET
 Jason Rawls	A+	3×	53/53	  GET
 Tim Ponjican	A+	2×	32/53	  GET
 Thatandyguy	B	2×	39/53	  GET
 Xavion	A+	4×	43/53	  GET
 Huffster2	A+	2×	33/53	  GET
 Ray Ross	A+	2×	43/53	  GET
 Thesden071	A+	2×	38/53	  GET
 Thomas Grover	C	2×	21/53	  GET
 Matt	A+	3×	42/53	  GET
 Lamaen Monkton	A+	4×	41/53	  GET
 Joseph Cheng	A+	4×	42/53	  GET
 Addsam9	A+	3×	32/53	  GET
 Dave Kaleta	A+	4×	43/53	  GET
 Zong-Lin Jhuang	A+	3×	44/53	  GET
 Nathsic	C+	4×	42/53	  GET
 Leeshie	A+	3×	42/53	  GET
 Midori Kumia	A	3×	36/53	  GET
 Abilene Tapia	A+	2×	43/53	  GET
 Shaze	A+	3×	37/53	  GET
 Zeila	A+	2×	45/53	  GET
 Lianett Ruiz	D	2×	32/53	  GET
 Ella.sophi	A+	3×	37/53	  GET
 Tommy	A	2×	38/53	  GET
 Aetiusreloaded	D	2×	39/53	  GET
 Red_jj	A+	3×	37/53	  GET
 Wayne Carlson	B+	2×	30/53	  GET
 Anna Monroe	A	4×	38/53	  GET
 Antony Moke-Gatt	B+	2×	33/53	  GET
 Bargo Kaboot	A+	2×	35/53	  GET
 Silverblazblue	A+	2×	40/53	  GET
 Austin Romine	B+	2×	36/53	  GET
 Red	A+	3×	39/53	  GET
 Dromark	F+	2×	5/53	  GET
 Romaindraws	A+	9×	43/53	  GET
 Paulor	A-	4×	36/53	  GET
 Ethan Cornine	A-	2×	37/53	  GET
 Jessica Carroll	A+	3×	39/53	  GET
 Winnie Lao	A+	2×	46/53	  GET
 Emmanuel	A+	5×	47/53	  GET
 Sunwusaru	A+	5×	37/53	  GET
 Lady_a	D+	3×	35/53	  GET
 Neonmobster_19637	B+	2×	26/53	  GET
 Jason Smith	A+	2×	39/53	  GET
 Tg Error	A+	2×	43/53	  GET
 The Paper Man	A+	3×	48/53	  GET
 Vanillabliss	A+	6×	52/53	  GET
 Firestreak8	C	4×	14/53	  GET
 Marc Villaceran	C-	2×	23/53	  GET
 Neonmobster_9344	A-	2×	34/53	  GET
 Zman375999	B	2×	25/53	  GET
 Josiah DePaoli	A+	4×	41/53	  GET
 Tjnoverofett	F	4×	38/53	  GET
 Linkle	A+	3×	43/53	  GET
 Sarawut Chetprayoon	A+	4×	40/53	  GET
 Asonity	A+	2×	41/53	  GET
 Cosmicconvict	B	3×	34/53	  GET
 Larisse	A+	2×	41/53	  GET
 Caleb Hayes	A	4×	36/53	  GET
 Mirianrose15	A+	2×	45/53	  GET
 Travis.k	A+	3×	38/53	  GET
 Bryan Horsey	B+	3×	35/53	  GET
 SilverRedstone	A	3×	40/53	  GET
 Luisa Maria Rodriguez	A	2×	38/53	  GET
 Weilin Liao	A+	3×	44/53	  GET
 Cyrus Malkin	A+	3×	53/53	  GET
 Enchant04	A+	4×	44/53	  GET
 Ridonkulous	A+	4×	44/53	  GET
 Nico Oliva	A+	2×	39/53	  GET
 Stephen McCarley	A	2×	35/53	  GET
 Coureton	A+	3×	40/53	  GET
 Corey Elliott	A-	3×	15/53	  GET
 Scoots	D	3×	41/53	  GET
 Craven Eudy	A+	2×	38/53	  GET
 R K	C+	4×	41/53	  GET
 Robert Gronewold	A+	7×	45/53	  GET
 Jeroen Gadellaa	A+	3×	49/53	  GET
 Gregg KeeferPROTESTSNEONMOBCHANGES	A+	3×	42/53	  GET
 Kyuketsuki_sama	A	2×	36/53	  GET
 Jeremy	A+	3×	36/53	  GET
 Johnthesilver	A+	3×	53/53	  GET
 DaEpikGuy	A	4×	45/53	  GET
 Reia Metherle	B+	2×	41/53	  GET
 Bryan Flynn	A+	2×	36/53	  GET
 Max Dusman	A+	7×	44/53	  GET
 Alfred Rivera	A+	2×	49/53	  GET
 Valerie Dee	A+	3×	46/53	  GET
 Andrea Barskaya	A+	2×	40/53	  GET
 Rachael Mahaffey	A+	3×	42/53	  GET
 Purple_drogger	D+	3×	40/53	  GET
 Mike Campbell	A+	3×	41/53	  GET
 Stewartnascar14	A	2×	34/53	  GET
 Snippid	A+	3×	48/53	  GET
 Luc White	A+	3×	47/53	  GET
 Hironori Taniguchi	A+	3×	41/53	  GET
 Spac3_ac3	A+	4×	41/53	  GET
 Ironox	A+	5×	45/53	  GET
 Kelley Hix	A+	4×	45/53	  GET
 J.M. A.N.	A+	4×	42/53	  GET
 Joey Park	A+	3×	43/53	  GET
 Energywolf	A+	2×	43/53	  GET
 Pandamistsoldier	A+	6×	43/53	  GET
 Dominique Williamson	A+	2×	41/53	  GET
 Cheszali Erestain	A+	2×	46/53	  GET
 Marc Antoine	A+	3×	50/53	  GET
 Teddy Pendergast	A+	3×	44/53	  GET
 Brian Scarcello	A+	2×	43/53	  GET
 Smodahf	A+	4×	43/53	  GET
 Lastemperor	A+	3×	44/53	  GET
 Mrminimii	B+	4×	39/53	  GET
 LoudNoise	A+	5×	42/53	  GET
 Kieran Gunn	A+	2×	42/53	  GET
 W I L S O N	A+	2×	44/53	  GET
 Chris Carey	B+	4×	44/53	  GET
 Calliekins Riegg	A+	8×	45/53	  GET
 Ryan	A+	3×	45/53	  GET
 Drew Stone	A+	3×	27/53	  GET
 Ulossio	C-	2×	23/53	  GET
 Tantalurina	A+	6×	43/53	  GET
 Xaelamie	A+	2×	43/53	  GET
 r00t	A+	2×	46/53	  GET
 Wax_packs	A+	2×	49/53	  GET
 Nushie	B	3×	42/53	  GET
 Tonyhamilt88	A+	3×	36/53	  GET
 Schrodingers Box	A+	4×	44/53	  GET
 Candyloidprocess	A+	3×	39/53	  GET
 Anthony Guzman	A+	2×	37/53	  GET
 Neonmobster_16724	A+	2×	39/53	  GET
 Gabriel Guimarães	B	4×	35/53	  GET
 Gabriel John Tallungan	D	2×	35/53	  GET
 Xelthor	A+	2×	36/53	  GET
 Nick Arbeiter	A-	3×	42/53	  GET
 Kaiyo	A+	4×	41/53	  GET
 John Grahl	A+	3×	40/53	  GET
 Mtzdiana	A+	2×	39/53	  GET
 Bmoremob	B-	2×	25/53	  GET
 Oliver Milton	A+	2×	40/53	  GET
 Notz022	A+	5×	41/53	  GET
 Vondarkmoor	A+	3×	37/53	  GET
 Neonmobster_17496	A+	2×	32/53	  GET
 Jbot5k	A+	3×	43/53	  GET
 Psylar0	B+	2×	25/53	  GET
 Sirhagrid	A+	5×	48/53	  GET
 CMW	A+	7×	43/53	  GET
 Nytunia	A+	5×	45/53	  GET
 Stereo	A	2×	43/53	  GET
 Kingcheesepuff	A	2×	41/53	  GET
 Jay Wu	B	10×	43/53	  GET
 Barnaby Weatherall	A+	2×	39/53	  GET
 Banana_Bacon	C	3×	39/53	  GET
 Aaron McDermott	A+	3×	39/53	  GET
 Ashley Brim	A+	5×	44/53	  GET
 Andrea Sánchez	A-	3×	40/53	  GET
 Luiz Wendt	A	3×	39/53	  GET
 Morongo Faust	A-	2×	38/53	  GET
 M	A+	2×	40/53	  GET
 jetsu ku	A-	2×	34/53	  GET
 Virginia "Magnolia" Pratcher and the MissOldNeonmob Hallows	A+	3×	49/53	  GET
 Neonmobster_18889	B	2×	21/53	  GET
 Neonmobster_16804	A+	3×	42/53	  GET
 Taw Lethaby	D	3×	27/53	  GET
 Cthulhu	A+	6×	44/53	  GET
 Layton	A+	5×	46/53	  GET
 Jcman7	A+	2×	42/53	  GET
 Trevor Wild	A+	4×	42/53	  GET
 Jewlz Robertson	A+	2×	37/53	  GET
 Wayne77	C+	3×	34/53	  GET
 Alexcea	A+	2×	29/53	  GET
 Jim Todd	A+	2×	52/53	  GET
 Willardandakasha	B+	2×	34/53	  GET
 mon_ridge	A+	3×	40/53	  GET
 Benedick Bana	A	2×	36/53	  GET
 David	B+	3×	41/53	  GET
 Slobodan Kovacevic	A	2×	42/53	  GET
 Mark Schafer	A+	4×	38/53	  GET
 Jonathan Swenson	A+	2×	41/53	  GET
 Collins Estock	A+	3×	47/53	  GET
 Jordan Bradford	A+	2×	42/53	  GET
 Joey Valko	A+	6×	52/53	  GET
 Diane Quintal	A+	2×	39/53	  GET
 M0m0	C	2×	24/53	  GET
 EpiCLicTra	A+	7×	47/53	  GET
 Jennifer	A+	2×	36/53	  GET
 Graham Viets	A+	2×	43/53	  GET
 Ender	A-	2×	41/53	  GET
 Crazychick7	A+	10×	44/53	  GET
 Ipocalypse	A+	2×	48/53	  GET
 Kalin Wood	A+	3×	44/53	  GET
 Imlostcanuhelpme	A	2×	44/53	  GET
 Jahn Galt	A+	5×	44/53	  GET
 Hope Bowman	A+	2×	38/53	  GET
 ERayque	A+	3×	45/53	  GET
 Pam Hetrick	A+	2×	40/53	  GET
 Tremendoustyler	C+	2×	7/53	  GET
 Dimonite	A+	4×	43/53	  GET
 Alex Castañeda	A+	2×	36/53	  GET
 Kendar05	A+	5×	45/53	  GET
 Ilja	A+	2×	46/53	  GET
 Celine Ko	A	3×	34/53	  GET
 RedLevi	B+	4×	37/53	  GET
 Jakub Hill	A-	2×	42/53	  GET
 Paulo914	B+	3×	40/53	  GET
 Rize	A+	3×	35/53	  GET
 Matt	A+	3×	49/53	  GET
 Eleni Panayiotou	A+	4×	50/53	  GET
 Nathan	B+	10×	50/53	  GET
 Patrick Rosales	A+	5×	46/53	  GET
 Alikys	A+	2×	50/53	  GET
 Neonmobster_19518	C	2×	36/53	  GET
 Makayla Carr	A+	5×	42/53	  GET
 Cheyenne Clark	A+	3×	40/53	  GET
 Richard Cross	A+	2×	39/53	  GET
 [TGL] Dogg	A+	2×	44/53	  GET
 Kristian Zranchev	A+	3×	43/53	  GET
 Libra R	B	2×	30/53	  GET
 Morgan Caricchio	A+	3×	43/53	  GET
 Dillar	A	3×	38/53	  GET
 Jth899	B+	2×	36/53	  GET
 Tradehowyalike	A+	4×	29/53	  GET
 Grace Ann Buenaventura	A	5×	44/53	  GET
 Amy Reesor	A	5×	50/53	  GET
 Barbie Jatico	C+	2×	36/53	  GET
 Jerry Guo	A+	3×	45/53	  GET
 Kyle	A+	2×	42/53	  GET
 Krystofer Reich	A+	2×	38/53	  GET
 Ian McNally	A+	5×	42/53	  GET
 TrinitySilph	A+	2×	33/53	  GET
 Mrshuff	A+	2×	47/53	  GET
 ffkei777	A+	2×	45/53	  GET
 Jackjackatomatom	C	2×	36/53	  GET
 Jawbone999	A+	4×	43/53	  GET
 Marco	A+	2×	45/53	  GET
 Bram Verhagen	A+	2×	38/53	  GET
 Weet	B	2×	26/53	  GET
 Hakaru Muromachi	A+	4×	42/53	  GET
 Pugyung	B	2×	29/53	  GET
 Michael Tsiang	A+	4×	41/53	  GET
 Jennifer	A+	2×	43/53	  GET
 Sevan.pasch	A+	4×	45/53	  GET
 DucAnh Le	A+	3×	40/53	  GET
 James O'Leary	A+	2×	41/53	  GET
 Yavonn Smart	A+	3×	39/53	  GET
 SuicidalxBullet	A+	7×	43/53	  GET
 Garret	B	3×	21/53	  GET
 Gunner Calaway	A+	3×	44/53	  GET
 Boon Chuan Lim	A+	6×	40/53	  GET
 Lucamber0821	A+	2×	40/53	  GET
 Smogthebear	A+	3×	41/53	  GET
 Farscape1x	A+	3×	47/53	  GET
 Cherie Young	A	2×	43/53	  GET
 Thomas Art	A-	2×	42/53	  GET
 Nick Sabre	A+	15×	53/53	  GET
 Magni Thorson	A+	2×	27/53	  GET
 Pr0	A+	4×	47/53	  GET
 Snow Star	A-	4×	38/53	  GET
 Sorrowmicasa	A+	3×	46/53	  GET
 khkdragon	C	2×	22/53	  GET
 Kumi	A+	3×	45/53	  GET
 Michael Wallace	A+	4×	50/53	  GET
 Blue Waterfall	A	2×	34/53	  GET
 Michael Sinclair	A+	7×	48/53	  GET
 Sara Ang	A+	3×	40/53	  GET
 HardyHero	A	3×	47/53	  GET
 Paulo Acacio Ramos	A+	4×	41/53	  GET
 Jeroennknol	A+	2×	34/53	  GET
 Waldo Cervantes	A+	6×	40/53	  GET
 Robby Miller	A+	3×	40/53	  GET
 Ako MarkVasquez	A+	3×	39/53	  GET
 Dpklingler	A+	3×	42/53	  GET
 Winson	B-	2×	32/53	  GET
 Nkonye Campbell	A+	2×	40/53	  GET
 Jaide Winant	A+	2×	41/53	  GET
 GROOTY	A+	3×	40/53	  GET
 Downhill	C+	2×	14/53	  GET
 Mouseblast	A+	6×	43/53	  GET
 Raevyn	B-	2×	38/53	  GET
 Megan F Miller	A+	2×	37/53	  GET
 Phantompapaya	C	2×	23/53	  GET
 Malik Wade	A	4×	44/53	  GET
 Jaes Overley	A+	6×	43/53	  GET
 Eliana	A+	2×	36/53	  GET
 Caleb Elder-Hall	A+	2×	45/53	  GET
 Javisa	A+	3×	41/53	  GET
 Witchwater	A+	5×	43/53	  GET
 Sequoia B.M.	A+	3×	42/53	  GET
 cecilia barbosa	A+	5×	45/53	  GET
 Gordoncarnes	B	2×	17/53	  GET
 Ernest Mattingly	A+	5×	48/53	  GET
 Adropofbeauty	A	2×	42/53	  GET
 Thomas Rad	A+	3×	41/53	  GET
 Matthew Schneider	A+	2×	42/53	  GET
 Madison Parler	A+	2×	41/53	  GET
 Arbiter	C	2×	37/53	  GET
 Makayla Chamness	A+	6×	38/53	  GET
 Vilana101004	A	3×	44/53	  GET
 Briana Wiblitzhouser	A-	3×	40/53	  GET
 Scott	A+	4×	43/53	  GET
 Mikuruchu	A+	2×	42/53	  GET
 Patryk Surmacz	A+	6×	43/53	  GET
 Carlos Torres	A+	5×	44/53	  GET
 Caleb Chou	B	4×	44/53	  GET
 Aleks	A+	5×	45/53	  GET
 The_Blazing_Prince	A+	2×	43/53	  GET
 Lenticular	A+	3×	39/53	  GET
 Damon Boothby	A+	2×	35/53	  GET
 Chris Harrison	A+	3×	41/53	  GET
 Juan Pablo Granados	A+	3×	42/53	  GET
 Veronica	C-	2×	24/53	  GET
 Kirito	A+	2×	42/53	  GET
 Neonmobster_17735	A+	3×	41/53	  GET
 Doughnutpugs	A+	3×	42/53	  GET
 Mythka	A+	5×	44/53	  GET
 Vick Alberti	A+	3×	42/53	  GET
 Dryshark	A+	2×	44/53	  GET
 Diana Jones	A+	3×	45/53	  GET
 Nicolas Fimbres	B-	4×	39/53	  GET
 Andreea Danielescu	A+	7×	49/53	  GET
 Melissa Baldwin	A+	2×	38/53	  GET
 Mikey	A+	4×	44/53	  GET
 Mosphar	A+	3×	42/53	  GET
 Kathy Moon	A+	4×	39/53	  GET
 Basquiat	A	3×	39/53	  GET
 Pinelf	A+	3×	43/53	  GET
 Niklas Berg	A+	3×	42/53	  GET
 Dave Lee	A-	2×	45/53	  GET
 Carlos O	A+	3×	32/53	  GET
 Rosalyn	C-	3×	34/53	  GET
 Samuel Scicluna	A	2×	44/53	  GET
 Timmcanpy	A+	4×	41/53	  GET
 Josiah Fortney	B	3×	42/53	  GET
 Minona	A+	3×	41/53	  GET
 Allan_The_Dragon	B+	2×	36/53	  GET
 Zsuzsa Bányai	A+	3×	42/53	  GET
 Erin Rad	A-	2×	39/53	  GET
 Kevin K	C+	3×	41/53	  GET
 Nikolas0	A+	4×	39/53	  GET
 Thunderwolf5	B-	3×	42/53	  GET
 Fryingpansam93	A+	3×	42/53	  GET
 Istanyou	B+	5×	39/53	  GET
 Luis Ruiz	A+	5×	45/53	  GET
 Andy Sun	F	6×	33/53	  GET
 Arlain	A+	3×	41/53	  GET
 Jose.cardenas	A-	2×	44/53	  GET
 Jackiesscreenscene	A+	5×	42/53	  GET
 Desdinova	A+	5×	41/53	  GET
 Marquaaaa	A+	2×	40/53	  GET
 George Saggeth Jr.	A+	2×	49/53	  GET
 Gina	A+	5×	43/53	  GET
 Brittany Evanovich	A+	3×	43/53	  GET
 Brian Kalish Jr.	A+	3×	40/53	  GET
 Oak Gonzalez	A+	4×	40/53	  GET
 galliard von Sillein	A+	3×	47/53	  GET
 Chiibit	A	2×	29/53	  GET
 Charlie.anna	A+	2×	43/53	  GET
 Jhedy	A+	2×	47/53	  GET
 Dan Moyer	A+	7×	46/53	  GET
 DMPL	A+	3×	39/53	  GET
 Zac Kenny	A+	2×	40/53	  GET
 Sharoontheraccoon	A+	2×	47/53	  GET
 Bruno Da Silva	A+	2×	44/53	  GET
 Brawndo	A+	4×	47/53	  GET
 Fer G Mainou	A+	3×	34/53	  GET
 Gorefat	F	2×	32/53	  GET
 Firdaus Isa	A+	5×	46/53	  GET
 ziel klynx	A	4×	41/53	  GET
 Jason Castick	A+	2×	31/53	  GET
 David Frost	A	2×	48/53	  GET
 Sam Fenn	B+	2×	33/53	  GET
 Brad Hoffman	A+	6×	49/53	  GET
 Skywalker	C-	3×	28/53	  GET
 Alex V	A+	4×	41/53	  GET
 John Nero Solace Foulds J.U.B.	A+	2×	52/53	  GET
 Bogdan Trachev	A+	4×	51/53	  GET
 Emory Cash	B	2×	32/53	  GET
 S_man98	C+	3×	40/53	  GET
 Victor Chiang	A+	4×	47/53	  GET
 ?Mark	A+	2×	46/53	  GET
 Neonmobster_811	A+	3×	46/53	  GET
 Tyago Neres	A+	2×	32/53	  GET
 Charles Hartwell	A	2×	37/53	  GET
 Morgan Jacobs-Leahy	A+	3×	32/53	  GET
 Neonmobster_14218	A+	2×	32/53	  GET
 Jarrett Rhodes	A+	2×	37/53	  GET
 Nadie En Serio A Nadie	A	2×	31/53	  GET
 Franco Hormazabal Labbe	B-	3×	43/53	  GET
 Reo	A+	3×	34/53	  GET
 Scylla	B	4×	43/53	  GET
 Hsportugal	A+	3×	45/53	  GET
 Dhodg187	A	2×	40/53	  GET
 Chris Williams	A+	8×	46/53	  GET
 Sockin	C+	3×	42/53	  GET
